30264	30256	30262	30239	30227	30206	30193	30168	30139	30105	30082	30022	29969	29909	29836	29799	29757	29731	29696	29676	29659	29667	29659	29646	29654	29657	29646	29643	29650	29659	29698	29718	29742	29718	29702	29661	29632	29637	29641	29637	29623	29635	29626	29623	29608	29590	29595	29612	29595	29592	29584	29570	29590	29590	29577	29564	29577	29590	29590	29581	29595	29592	29575	29586	29586	29570	29566	29572	29575	29570	29570	29588	29586	29568	29577	29590	29581	29570	29586	29577	29570	29564	29575	29572	29564	29595	29584	29570	29588	29590	29590	29575	29579	29588	29577	29557	29577	29568	29575	29566	29584	29572	29570	29568	29568	29564	29579	29570	29588	29584	29579	29581	29577	29564	29577	29586	29575	29581	29588	29584	29581	29592	29584	29586	29592	29592	29590	29595	29608	29590	29610	29615	29592	29608	29617	29610	29610	29621	29623	29621	29641	29612	29632	29639	29630	29641	29626	29635	29661	29641	29648	29667	29657	29648	29670	29641	29654	29661	29637	29657	
30248	30233	30237	30189	30176	30149	30114	30077	30037	29975	29909	29838	29805	29748	29729	29720	29694	29694	29670	29650	29648	29667	29626	29643	29650	29650	29648	29654	29654	29670	29727	29746	29781	29744	29707	29670	29617	29630	29637	29632	29637	29623	29635	29619	29619	29601	29597	29590	29592	29581	29601	29601	29612	29599	29586	29579	29579	29599	29599	29579	29584	29581	29586	29592	29588	29584	29575	29586	29586	29581	29577	29577	29586	29570	29579	29584	29584	29561	29581	29577	29581	29579	29570	29579	29588	29590	29597	29590	29592	29581	29592	29579	29566	29566	29584	29579	29564	29577	29572	29570	29586	29570	29581	29559	29566	29564	29570	29561	29590	29566	29579	29577	29577	29570	29581	29577	29566	29588	29577	29590	29586	29599	29599	29584	29601	29581	29588	29584	29599	29592	29599	29617	29588	29606	29606	29615	29615	29617	29612	29623	29626	29621	29630	29646	29621	29637	29630	29657	29648	29630	29643	29654	29648	29646	29639	29652	29637	29654	29646	29646	
30260	30202	30172	30130	30090	30060	29999	29939	29862	29803	29764	29733	29716	29694	29685	29689	29674	29663	29670	29657	29641	29637	29654	29639	29641	29674	29635	29637	29661	29674	29724	29753	29788	29748	29698	29681	29635	29654	29646	29628	29643	29621	29621	29617	29608	29604	29608	29599	29592	29595	29599	29597	29599	29608	29597	29597	29595	29604	29584	29599	29597	29597	29581	29597	29586	29601	29581	29575	29586	29586	29570	29586	29570	29575	29579	29590	29577	29586	29601	29586	29568	29590	29584	29577	29584	29577	29601	29577	29584	29584	29581	29584	29575	29579	29581	29575	29586	29579	29592	29577	29572	29572	29575	29566	29568	29559	29575	29564	29572	29579	29570	29570	29570	29575	29572	29570	29581	29568	29584	29579	29584	29592	29592	29588	29590	29586	29584	29584	29597	29588	29604	29604	29590	29610	29597	29621	29606	29617	29619	29608	29604	29608	29635	29626	29639	29657	29630	29648	29639	29637	29639	29657	29659	29648	29659	29650	29652	29652	29626	29646	
30170	30105	30058	30012	29939	29896	29851	29801	29751	29718	29709	29678	29681	29667	29665	29670	29674	29667	29650	29643	29626	29641	29646	29641	29643	29659	29643	29630	29659	29674	29718	29748	29753	29737	29700	29654	29637	29648	29643	29639	29632	29632	29615	29626	29610	29612	29595	29597	29584	29590	29606	29572	29597	29595	29601	29584	29595	29612	29590	29595	29601	29588	29581	29584	29588	29588	29588	29584	29579	29581	29588	29581	29584	29577	29570	29570	29572	29575	29581	29579	29575	29570	29579	29564	29572	29586	29588	29584	29590	29588	29577	29586	29577	29584	29581	29568	29581	29561	29570	29575	29570	29561	29552	29561	29561	29564	29561	29564	29568	29572	29570	29570	29561	29555	29577	29566	29577	29586	29577	29577	29586	29586	29584	29584	29570	29579	29590	29564	29590	29570	29590	29610	29588	29601	29615	29612	29599	29599	29604	29615	29610	29606	29608	29621	29621	29637	29608	29630	29632	29632	29630	29630	29652	29639	29628	29643	29639	29630	29623	29646	
30029	29956	29918	29849	29812	29775	29762	29727	29694	29672	29683	29650	29654	29648	29665	29667	29661	29643	29641	29630	29635	29648	29637	29643	29637	29661	29639	29637	29659	29670	29700	29718	29729	29711	29678	29648	29626	29632	29632	29643	29639	29630	29619	29619	29604	29608	29584	29595	29597	29599	29599	29577	29592	29599	29606	29586	29584	29608	29599	29608	29595	29597	29584	29572	29586	29579	29581	29584	29590	29577	29581	29584	29579	29568	29570	29584	29590	29586	29588	29575	29561	29577	29575	29570	29575	29579	29586	29568	29581	29588	29586	29581	29559	29588	29572	29561	29566	29564	29570	29557	29570	29557	29566	29550	29572	29555	29570	29548	29555	29566	29566	29568	29550	29552	29570	29570	29561	29564	29570	29584	29557	29570	29568	29561	29561	29581	29561	29561	29579	29564	29584	29599	29575	29592	29599	29599	29588	29601	29599	29597	29592	29601	29610	29610	29617	29619	29617	29619	29626	29623	29619	29635	29630	29628	29654	29628	29639	29626	29619	29628	
29886	29849	29801	29759	29744	29729	29718	29692	29678	29659	29661	29648	29654	29659	29657	29657	29646	29639	29635	29632	29630	29635	29635	29639	29641	29659	29632	29641	29635	29661	29678	29689	29687	29685	29661	29632	29632	29648	29635	29632	29632	29626	29617	29615	29612	29601	29584	29606	29579	29590	29595	29577	29595	29595	29592	29584	29579	29606	29592	29604	29577	29592	29575	29572	29577	29584	29586	29579	29588	29579	29581	29577	29579	29581	29575	29581	29581	29570	29584	29577	29568	29575	29581	29559	29572	29577	29575	29575	29579	29579	29570	29570	29572	29572	29561	29564	29566	29564	29564	29559	29570	29559	29564	29559	29550	29561	29555	29561	29561	29564	29568	29550	29561	29568	29559	29555	29568	29550	29564	29572	29568	29561	29557	29561	29564	29570	29568	29550	29586	29561	29575	29592	29572	29575	29595	29590	29586	29586	29584	29606	29595	29592	29601	29612	29608	29606	29615	29610	29617	29608	29619	29619	29628	29619	29637	29626	29619	29628	29608	29619	
29790	29762	29744	29727	29729	29709	29698	29687	29670	29654	29667	29659	29659	29648	29646	29670	29648	29652	29637	29621	29637	29646	29632	29648	29643	29652	29639	29632	29641	29639	29650	29654	29661	29639	29665	29632	29635	29639	29646	29637	29643	29637	29610	29612	29615	29606	29597	29595	29601	29588	29599	29608	29599	29588	29588	29597	29588	29601	29597	29604	29599	29590	29581	29579	29597	29597	29592	29588	29597	29572	29584	29584	29579	29584	29584	29575	29579	29572	29579	29564	29575	29572	29581	29590	29579	29584	29579	29590	29584	29577	29586	29577	29566	29586	29599	29570	29559	29572	29555	29548	29559	29555	29572	29564	29557	29579	29570	29561	29557	29561	29566	29564	29557	29550	29566	29570	29548	29564	29557	29564	29552	29577	29577	29564	29577	29559	29570	29577	29561	29552	29575	29592	29566	29575	29584	29577	29590	29601	29586	29581	29566	29592	29599	29601	29617	29599	29612	29615	29606	29606	29604	29610	29599	29612	29621	29619	29623	29623	29619	29615	
29748	29709	29718	29700	29707	29694	29700	29683	29652	29659	29654	29661	29663	29648	29674	29670	29646	29652	29641	29643	29632	29626	29632	29639	29639	29652	29641	29639	29646	29646	29643	29646	29661	29628	29646	29648	29641	29637	29628	29639	29643	29621	29623	29617	29604	29597	29608	29601	29592	29599	29597	29608	29586	29590	29599	29592	29597	29612	29579	29588	29595	29579	29604	29584	29604	29575	29595	29584	29588	29586	29581	29581	29595	29586	29590	29584	29597	29586	29575	29581	29575	29581	29588	29577	29568	29575	29595	29575	29581	29597	29579	29575	29568	29572	29570	29570	29557	29577	29575	29555	29552	29561	29579	29564	29561	29564	29561	29561	29546	29577	29557	29561	29541	29559	29561	29561	29552	29566	29552	29581	29570	29570	29581	29564	29564	29561	29572	29577	29568	29568	29586	29588	29572	29564	29584	29592	29581	29597	29590	29588	29588	29595	29601	29586	29610	29592	29592	29601	29621	29612	29615	29608	29623	29621	29623	29619	29628	29626	29606	29610	
29744	29707	29692	29687	29683	29702	29667	29657	29652	29641	29650	29648	29639	29654	29667	29674	29648	29659	29646	29628	29623	29610	29652	29652	29637	29654	29663	29648	29661	29641	29641	29652	29654	29650	29637	29619	29626	29630	29628	29646	29630	29608	29612	29604	29610	29610	29601	29584	29586	29597	29595	29588	29601	29601	29592	29610	29601	29604	29572	29586	29586	29597	29595	29590	29601	29592	29584	29588	29586	29586	29581	29581	29588	29581	29572	29581	29570	29581	29579	29577	29577	29579	29581	29561	29584	29588	29575	29586	29570	29581	29564	29572	29570	29575	29577	29577	29557	29555	29566	29550	29568	29555	29548	29548	29550	29546	29561	29559	29550	29555	29557	29566	29548	29543	29561	29561	29572	29552	29550	29566	29566	29557	29564	29559	29572	29564	29550	29575	29568	29570	29564	29584	29570	29577	29575	29577	29572	29577	29588	29588	29588	29564	29586	29575	29606	29597	29604	29595	29608	29588	29606	29617	29599	29612	29597	29590	29619	29612	29626	29604	
29729	29678	29685	29670	29689	29687	29663	29661	29652	29659	29650	29648	29646	29659	29661	29657	29650	29646	29639	29617	29628	29623	29641	29635	29641	29659	29663	29659	29665	29659	29667	29665	29670	29650	29635	29621	29623	29628	29626	29632	29635	29615	29617	29628	29610	29604	29610	29599	29595	29588	29595	29597	29604	29604	29595	29595	29592	29599	29595	29597	29599	29590	29597	29579	29597	29590	29595	29590	29584	29584	29581	29592	29592	29577	29579	29581	29579	29581	29586	29564	29568	29579	29584	29566	29575	29584	29584	29579	29579	29581	29586	29568	29568	29572	29579	29575	29570	29564	29575	29552	29561	29564	29559	29548	29550	29548	29543	29539	29557	29566	29557	29561	29555	29550	29550	29566	29555	29552	29559	29555	29546	29564	29557	29550	29552	29550	29557	29568	29570	29550	29555	29572	29566	29559	29564	29572	29566	29584	29575	29588	29590	29570	29579	29586	29595	29592	29592	29608	29608	29606	29590	29615	29590	29610	29612	29606	29606	29615	29588	29604	
